key	title	source_url	decision_details	date_str	decision_num
2025-01-20-004-3ea8	Implementation of the Community Asset Management Project by the National Water Supply and Drainage Board (NWSDB) and the IHE-Delft Institute for Water Education	https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=12993	- The National Water Supply and Drainage Board has signed a Memorandum of Understanding with UNESCO IHE in 2022 to initiate a Joint Research and Development and Capacity Building Program. The National Water Supply and Drainage Board, in accordance with the provisions of the said Memorandum of Understanding, has submitted a comprehensive project proposal to the IHS Delft Institute for Water Education under the theme “Community Asset Management to Transform Stakeholders into Shareholders of Water Services” with special focus on Water and Health. The said institute has approved to implement the project proposal under Phase 3 of the IHS-Delft Water and Development Partnership Program (DUPC 3) jointly with several consortium member institutes. Accordingly, it has been agreed to provide a maximum grant contribution of Euro 399,819 to consortium members out of which Euro 164,236 has been allocated to the Government of Sri Lanka under the Phase 3 of the Water and Development Partnership Program. The proposal made by the Minister of Urban Development, Construction and Housing, to enter into the relevant Agreements for the implementation of the said project, was approved by the Cabinet.	2025-01-20	4
2025-01-20-003-f26f	Relocation of the unauthorized dwellers in the Kelani Valley Railway Reservation	https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=12992	- The Cabinet, at its meeting held on 2024‑08‑05, has granted approval to relocate the unauthorized dwellers within the railway reservation from the Loco Junction, Maligawatta to Padukka Railway Station under the Railway Efficiency Improvement Project, having provided them with housing or compensation. Accordingly, the settlement in 694 houses purchased from housing complexes owned by the Urban Development Authority has already been completed and another 144 housing units are due to be received from the Urban Development Authority. A housing complex with 120 housing units is being constructed in a land owned by the Railway Department in Malapalla, Kottawa for the re-settlement of unauthorized dwellers in Maharagama, Homagama and Padukka areas where no housing scheme of the Urban Development Authority is available and their construction is nearing completion as of now. As such, the proposal made by the Minister of Transport, Highways, Ports and Civil Aviation to vest the land located at Malapalla, Kottawa owned by the Department of Sri Lanka Railways, together with the housing complex standing thereon, with the National Housing Development Authority as a free grant as per the provisions of section 6(1) of the State Land Ordinance, enabling to grant deeds to the beneficiaries to be settled in the said housing complex and to implement the programme for providing the relevant deeds to the selected beneficiaries without being a burden to them, was approved by the Cabinet.	2025-01-20	3
2025-01-20-002-1dcc	Bilateral Air Services Agreement between the Government of Sri Lanka and the Government of Italy	https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=12991	- Negotiations have been conducted between the Government of Sri Lanka and the Government of Italy on measures related to bilateral air services between the two countries, and accordingly, Cabinet approval has been granted on 2018‑07‑24 to sign an Air Services Agreement between the two countries. However, the said Agreement has not yet been signed and both parties have recognized the desirability of entering into the said Agreement expeditiously. Under the proposed Agreement, it will be possible to operate up to 14 scheduled flights per week for air passenger services and up to 07 scheduled flights per week for air cargo services on the agreed routes using any type of aircraft. Accordingly, the proposal made by the Minister of Transport, Highways, Ports and Civil Aviation to sign the said Air Services Agreement between the Government of Sri Lanka and the Government of Italy, was approved by the Cabinet.	2025-01-20	2
2025-01-20-001-f6b4	Establishment of the Faculty of Medicine of the University of Moratuwa	https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=12990	- The first batch of medical students of the Faculty of Medicine at the University of Moratuwa, enrolled based on the 2019 G.C.E. (Advanced Level) results, is scheduled to commence hospital-based clinical training in July 2025. The Cabinet had granted approval previously for the establishment of the Faculty of Medicine at the University of Moratuwa using the existing facilities at the premises of South Asian Institute of Technology and Medicine (SAITM) and the use of the facilities of the Dr. Neville Fernando Hospital for hospital-based training of medical students. However, it has been observed that using Dr. Neville Fernando Hospital for clinical professorial training of medical students of the University of Moratuwa is problematic, due to the insufficient number of patients receiving treatment at the said hospital and the diversity of their diseases, and the shortage of hospital staff and specialist doctors. Therefore, the joint proposal made by the Hon. Prime Minister in her capacity as the Minister of Education, Higher Education and Vocational Education; and the Minister of Transport, Highways, Ports and Civil Aviation, to utilize the Kalutara Teaching Hospital and the Gallassa Maternity and Children's Hospital to ensure that a quality hospital-based training is provided to the said medical students, and to vest 02 plots of land belonging to the Sri Lanka Transport Board and the Road Development Authority in the Nagoda West Grama Niladhari Division of the Kalutara Divisional Secretariat Division, with the said University for the establishment of the Faculty of Medicine of the University of Moratuwa, was approved by the Cabinet.	2025-01-20	1
2025-01-06-017-58d0	Granting the Stationery Allowance to the children in families that do not receive the Aswesuma but meet the other qualifications, under the Programme for Providing Stationery to School Children.	https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=12989	- Measures have been taken by now to grant the allowance of Rs.6000/- each for purchasing stationery for school children in Aswesuma beneficiary families, through the bank accounts of the said families. Providing the said allowance to children who have lost their parents and not belonging to Aswesuma beneficiary families, children from families with a disabled mother or father, all children of school age in orphanages and children belonging to the categories of destitution due to special reasons, have been entrusted with the Ministry of Education, Higher Education and Vocational Education. The Cabinet, taking into account the non-availability of an updated database as of now, to select children from families belonging to aforesaid categories, and the need to provide the proposed Stationary Allowance at the beginning of the new school term in 2025, approved the proposal made by the Hon. Prime Minister in her capacity as the Minister of Education, Higher Education and Vocational Education to grant the Stationery Allowance of Rs.6,000/- each, to all children from families that are not beneficiaries of Aswesuma in 6,576 schools with less than 300 children out of the total of 10,096 schools across the Island, children coming to schools from Child Development Centres and lay and monastic students in Pirivena and provide the said allowance through a voucher.	2025-01-06	17
2025-01-06-016-1492	Signing of Memoranda of Understanding/Cooperation Agreement between the Ministry of Health and Mass Media and the Institutions of the People's Republic of China	https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=12988	"- The proposals made by the Minister of Health and Mass Media to enter into Agreements with the following institutions of the Ministry of Health and Mass Media and the People's Republic of China with the objective of strengthening the cooperation between the two countries, were approved by the Cabinet.
(i) The Memorandum of Understanding (MoU) between the Ministry of Health and Mass Media and the National Radio and Television Administration of the People’s Republic of China.
(ii) The Memorandum of Understanding between Associated Newspapers of Ceylon Limited and the Xinhua News Agency of China.
(iii) The Cooperation Agreement between the Department of Government Information and the Xinhua News Agency of China.
(iv) The Memorandum of Understanding between the Sri Laka Rupavahini Corporation and the China Media Group.
(v) The Memorandum of Understanding between the Sri Lanka Broadcasting Corporation and the China Media Group."	2025-01-06	16
2025-01-06-015-729a	Signing of Certificate of Handover between Sri Lanka and China on Emergency Humanitarian Assistance Project to Sri Lanka (Rice, Fishing Nets and Housing Facilities)	https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=12987	"- The People's Republic of China has provided the following emergency assistance to small-scale fishermen in the Northern and Eastern provinces of Sri Lanka at a cost of Yuan 35.7 million :
* 75,000 fishing nets for small-scale and low income earning fishermen.
* 500 prefabricated houses for small-scale and low income earning fishermen.
* 1,630 tons of rice for small-scale and low income earning fishermen
All these items were received by the Ministry of Fisheries, Aquatic and Ocean Resources in the year 2024, and the rice and fishing nets have now been distributed 	among the selected beneficiaries. Accordingly, the proposal made by the Minister of 	Fisheries, Aquatic and Ocean Resources to sign the Certificate of Handover of the said emergency assistance between the People's Republic of China and the 	Government of Sri Lanka, was approved by the Cabinet."	2025-01-06	15
2025-01-06-014-2a6c	Signing the Agreement related to the Protocol for Exporting Poultry Meat to the Chinese Market	https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=12986	- It has been proposed to sign an Agreement between the Sri Lanka and China, including Inspection, Quarantine and Health Requirements, to be prepared regarding the procedures of the two countries to export poultry meat from Sri Lanka to China, with the intervention of the General Administration of Customs of China, under a specific procedure. Accordingly, the proposal made by the Minister of Agriculture, Livestock, Lands and Irrigation for signing the said Agreement between the General Administration of Customs of China and his Ministry, was approved by the Cabinet.	2025-01-06	14
2025-01-06-013-0431	Signing of a Memorandum of Understanding (MoU) between China Media Group (CMG) and Sri Lanka Tourism Promotion Bureau	https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=12985	- It has been proposed to sign a Memorandum of Understanding between the China Media Group and the Sri Lanka Tourism Promotion Bureau with the objective of positioning Sri Lanka as a leading tourist destination for Chinese tourists by utilizing the modern technology and expertise of the China Media Group based on the cooperation developed between the two parties. Accordingly, the proposal made by the Minister of Foreign Affairs, Foreign Employment and Tourism to sign the said MoU, was approved by the Cabinet.	2025-01-06	13
2025-01-06-012-d56b	The Government of Sri Lanka continuing to follow the “One China Policy”	https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=12984	"- The Government of Sri Lanka has continued to follow the ""One China Policy"", which means that it recognizes only the People's Republic of China as the legitimate China and Taiwan only as one province in China. It was decided to grant the concurrence of the Cabinet to the submissions made by the Minister of Foreign Affairs, Foreign Employment and Tourism that the Government of Sri Lanka will continue to follow and adhere to the said policy and act accordingly."	2025-01-06	12
